[19:02:52] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:03:38] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[19:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[19:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[19:03:40] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[19:03:40] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[19:03:41] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[19:03:41] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[19:03:42] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[19:03:42] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[19:03:43] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[19:03:43] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[19:03:44] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[19:03:44] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[19:03:45] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[19:03:45] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[19:03:46] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[19:03:46] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[19:03:47] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[19:03:47] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[19:03:48] [Worker-Main-2/INFO]: Preparing spawn area: 97%
[19:03:48] [Server thread/INFO]: Time elapsed: 41256 ms
[19:03:48] [Server thread/INFO]: Done (48.418s)! For help, type "help"
